"Median_house_value","Median_household_income","Mean_household_income","POPULATION","Total_units","Vacant_units","Owners","Median_rooms","Mean_household_size_owners","Mean_household_size_renters","LATITUDE","LONGITUDE"
426900,61995,85867,3584,2374,122,33,3.7,1.92,1.58,37.817368,-122.249127
429800,61632,71972,2819,1835,133,23.1,3.5,1.53,1.54,37.822454,-122.25253
682200,73899,94146,2929,1892,207,39.8,3.6,1.98,1.56,37.830348,-122.250622
579700,50684,67765,2283,1773,174,10.8,3.3,1.81,1.43,37.825832,-122.251044
918900,152853,198644,3483,1457,64,80.8,7.2,2.48,1.86,37.837583,-122.229689
857400,133347,165338,5314,2433,233,84.5,6,2.47,1.93,37.844684,-122.2158
832000,125714,152845,5784,2606,134,83.3,6.4,2.32,2.74,37.834622,-122.202426
836000,147778,189849,4353,1907,91,96.5,7,2.48,1.7,37.824214,-122.192737
770800,137232,138297,1954,842,47,83.5,7.4,2.56,2.6,37.812155,-122.207488
648900,88833,88446,2684,1337,51,57.7,4.6,2.51,1.42,37.804704,-122.213272
599400,65158,94377,4129,2032,56,60,5.1,2.23,2.3,37.80394,-122.221525
721200,108472,133830,3136,1663,231,63,5.8,2.62,1.67,37.808241,-122.225708
890700,166554,212536,4197,1669,101,91.1,7.5,2.8,1.83,37.811496,-122.232389
569700,59332,72401,4597,2660,287,23.8,4.2,2.73,1.64,37.805121,-122.244707
438000,61750,73818,2603,1680,63,11.9,3.5,1.51,1.65,37.802213,-122.25137
528800,20787,34790,2530,1623,98,3.9,2.7,2.22,1.75,37.798371,-122.254529
325000,27360,41809,3957,1815,259,18.3,3.3,3.38,2.23,37.796502,-122.249274
320400,30534,42939,3114,1284,188,21.2,3.4,2.33,2.21,37.793393,-122.245787
423200,41550,56051,3643,1745,181,22.4,4,3.3,2.03,37.798377,-122.243251
462300,41820,53145,3137,1539,142,24.1,3.8,3.24,1.88,37.800774,-122.237766
394000,43750,55855,3243,1530,322,29.6,3.7,3.23,2.07,37.797944,-122.229405
353300,38472,48021,3965,1433,135,42.1,4.8,3.06,3.05,37.793907,-122.233227
571700,38879,44860,3910,1169,169,21.6,4.3,4.2,3.28,37.787735,-122.236032
332800,38523,43573,3035,1054,24,35.8,4.5,3.17,3.23,37.79099,-122.241014
402100,24922,45824,3450,1589,175,7.9,3.2,3.93,2.2,37.792134,-122.252325
348900,52917,59223,4381,1606,241,28.1,4.4,2.84,2.73,37.775082,-122.229059
416300,29727,43231,4649,1607,226,15.5,4,3.69,3.76,37.784942,-122.23063
381400,25417,40365,4718,1389,192,13.9,3.6,2.99,3.42,37.782006,-122.226739
304900,37731,48206,4113,1368,169,42.3,4.5,3.68,3.26,37.789134,-122.225086
405100,48694,56143,2145,803,46,44.3,4.4,3.33,2.29,37.794392,-122.22175
342100,34669,53048,5930,2059,365,39.3,4.4,3.82,2.91,37.788388,-122.217093
384900,49357,53550,4596,1914,110,37.9,4.2,2.6,2.58,37.793538,-122.208333
351000,50793,64401,2493,1003,121,43.3,4.4,2.8,2.37,37.795766,-122.214744
540000,94565,108294,5048,2363,221,69.3,5.2,2.5,1.9,37.802231,-122.20407
524900,72568,86191,3428,1505,133,67.7,5,2.59,2.55,37.796987,-122.195694
556500,77097,110022,3719,1626,100,61,5.2,2.51,2.58,37.792556,-122.191739
306800,37851,52790,5885,2350,341,41.6,4.3,3.15,2.75,37.787523,-122.203288
352300,29432,47516,3414,1126,120,25.1,4.1,3.3,3.83,37.783072,-122.214771
361500,42857,49629,4351,1403,189,52.9,4.6,3.66,2.92,37.781064,-122.210336
480400,36667,47252,6746,1916,242,25.3,3.8,3.26,3.53,37.778084,-122.219368
202000,43224,56806,2598,794,51,34.1,4.8,4.32,3.4,37.766422,-122.208745
293500,36552,53311,3954,1196,78,33.6,4.6,3.83,3.54,37.770995,-122.206895
392600,26848,35926,3931,1432,200,22,4.3,2.87,2.53,37.769421,-122.197642
416200,47388,58782,6027,2386,233,48.4,4.8,2.9,2.96,37.77719,-122.203607
425800,69637,82043,4109,1913,176,80.7,5.7,2.48,2.1,37.776356,-122.193265
413900,60469,71105,2425,816,117,80,5.4,2.51,3.94,37.782023,-122.189557
528600,90408,101662,2706,1257,196,80.9,5.2,2.61,1.99,37.788232,-122.186216
717600,115729,134553,2671,1050,68,86.3,6.6,2.29,2.97,37.802069,-122.181962
686700,108468,139518,5991,2769,261,80.8,6.1,2.34,2.12,37.78272,-122.15649
399300,50186,61334,4054,1947,284,50,4.5,2.19,2.45,37.774619,-122.176128
391700,52075,69759,4167,1941,140,69.1,5.3,2.7,2.83,37.770292,-122.164941
264600,35781,48911,3323,1413,290,50.9,4.9,3.09,3.25,37.764837,-122.17107
333400,36429,43402,4972,1768,248,51.3,4.8,3.54,3.28,37.760259,-122.178894
280000,33539,47571,5492,1971,286,44.9,4.9,3.54,3.2,37.764969,-122.183777
317400,40680,46500,7207,2616,542,46.8,4.7,2.93,3.19,37.768332,-122.18978
347300,22587,32622,5547,1899,207,27.4,4.4,3.97,2.9,37.759438,-122.196713
222500,21216,29070,3414,1117,131,33.5,4.2,3.92,2.75,37.755682,-122.186029
275000,35357,45816,3552,1117,67,43.2,5.1,3.22,3.94,37.734916,-122.188832
268400,59655,68738,2255,704,54,66,4.9,3.8,3.71,37.732071,-122.183268
283100,40766,45616,3152,980,115,63.4,4.7,3.42,3.21,37.729406,-122.178207
329900,33934,46437,5229,1663,125,38,4.5,4.02,3.3,37.738359,-122.172261
307900,49083,56453,4306,1247,200,45.3,4.7,4.89,3.81,37.745747,-122.176564
348600,34167,47780,3122,1034,174,33.7,4.8,3.99,4.05,37.751321,-122.180804
354400,41778,51337,5063,1674,219,36.4,4.8,4,3.7,37.753377,-122.172472
264900,35658,43381,4696,1792,294,32.6,4.4,3.71,2.78,37.75562,-122.165716
404200,40189,64829,2887,1368,195,59.8,5.2,2.79,2.03,37.759356,-122.157665
585800,108214,119078,3308,1481,77,90.7,6.2,2.32,1.88,37.760102,-122.134933
548700,77000,92989,2805,1228,64,91.6,6.1,2.29,4.2,37.74341,-122.135552
370400,41250,59405,2406,1045,64,52,5.3,2.68,3.28,37.747626,-122.153917
262500,40474,51661,3062,1245,188,48,4.5,2.42,3.43,37.745759,-122.157499
362200,32829,43247,3536,1103,93,31.5,4.2,4.14,4.21,37.746755,-122.166517
271400,44746,69077,3792,1397,123,65.8,5.1,3.2,3.58,37.741093,-122.162165
388700,19351,28868,2193,1120,69,12.8,4.2,2.93,2.24,37.807099,-122.289823
704200,117000,133285,2355,949,31,72.3,5.9,2.48,2.94,37.894631,-122.290916
661000,73665,84058,2898,1270,43,41.5,4.6,2.75,2.15,37.894805,-122.297564
520600,70242,87488,4571,2143,165,55.9,4.4,2.18,2.32,37.892659,-122.303641
639200,65726,89174,2308,1027,145,37,4.6,2.6,2.35,37.886543,-122.295159
714100,107455,111933,3283,1311,100,72.3,5.5,2.5,2.52,37.886917,-122.287531
884500,168750,200929,1992,891,22,94.1,6.5,2.44,3.92,37.899169,-122.266302
999700,157500,186191,3563,1538,82,92.1,7.4,2.61,1.43,37.897263,-122.274705
871600,116200,154589,3844,1751,107,82.4,6.2,2.48,2.06,37.891135,-122.28171
896700,132258,175767,1593,686,0,82.5,6.9,2.46,2.63,37.888419,-122.270734
912600,134875,176674,3640,1681,64,83.1,6.3,2.37,2.1,37.891531,-122.260296
901300,121111,141483,3558,1704,132,72.8,6,2.46,1.68,37.883504,-122.257426
699100,80491,99156,3198,1728,97,37.3,4.3,2.53,2.28,37.881464,-122.27027
694100,82917,105929,2007,960,80,69,5.8,2.35,2.36,37.879992,-122.277817
652900,91774,108201,3632,1857,238,64.3,4.7,2.31,2.01,37.879488,-122.289683
489400,49773,72239,1756,674,76,43.1,3.8,2.81,1.76,37.866514,-122.297361
613600,43771,54928,2685,1156,121,47,4.2,2.43,1.98,37.873165,-122.296631
608800,54083,87386,3144,1643,130,49,4.2,2.15,1.82,37.87252,-122.288105
638800,48776,71676,3387,1813,218,44.1,4.2,2.31,2.12,37.873995,-122.277501
623000,39083,60120,4196,2296,12,9.4,3.2,2.67,1.95,37.875219,-122.269324
640300,45875,77900,4658,1660,113,20.6,3.3,2.22,1.65,37.876904,-122.259915
936400,35352,59007,4885,1150,87,17.3,3.9,2.23,2.48,37.867659,-122.251235
350000,25145,28492,8368,1484,106,0.2,2.9,3.33,1.97,37.866717,-122.258913
576200,75030,89394,4396,2177,67,44.6,4.4,2.73,2.1,37.867025,-122.277077
587000,48956,63703,3964,2006,201,37.6,4,2.67,1.83,37.866041,-122.285919
498700,48906,67469,2794,1188,115,38.4,4.5,3.14,2.33,37.864428,-122.293691
541800,53587,69354,3647,1693,159,56.6,4.8,2.86,1.94,37.857371,-122.283915
554000,38860,64697,4685,2243,222,38.1,4.2,2.46,1.96,37.858202,-122.275892
655900,70863,76083,3118,1438,105,37.1,4.6,2.72,2.21,37.859124,-122.267924
619400,67865,87870,2642,1324,79,35.7,4.2,2.36,1.91,37.858887,-122.258515
583300,35589,52798,5659,2604,157,15.1,3.5,2.32,2.38,37.863529,-122.258796
972900,57875,105233,3633,1419,216,40.1,4.5,2.56,1.88,37.862379,-122.250259
402000,52962,69854,2020,880,75,45.2,4.7,2.78,1.75,37.852678,-122.266679
860200,76528,104487,1552,812,47,32.4,4.4,2.31,1.74,37.854428,-122.257223
587500,43810,54286,3716,1614,164,21.1,4.1,3.28,2.36,37.850293,-122.27484
341200,34565,50966,2172,1020,54,37.3,4.2,2.61,2.1,37.850348,-122.281464
293200,75778,102278,1596,1266,0,54.7,3.4,1.68,1.53,37.838229,-122.301937
487500,69352,94321,2807,1810,364,25.6,3.4,1.52,1.46,37.841394,-122.294966
394800,92174,109827,2502,1379,179,43.6,3.6,1.98,2.03,37.843845,-122.289329
329900,50682,59392,3175,1797,197,25.3,3.6,2.07,1.9,37.833049,-122.280897
772900,99000,117761,3646,1427,91,64.3,6.3,2.59,2.39,37.764448,-122.23133
511700,73482,86052,4107,1626,147,38.3,4.8,2.93,2.93,37.771896,-122.248665
599600,64390,95101,4896,2108,173,43.7,4.6,2.37,2.34,37.778193,-122.267919
526000,47460,56864,4722,1810,225,20.1,3.9,3.18,2.84,37.777977,-122.283671
648800,60291,72342,4866,2409,152,38.1,3.9,2.25,2.08,37.772383,-122.283805
657600,77287,98438,4640,2113,203,41.6,4.4,2.97,2.05,37.772007,-122.269339
712900,72366,99066,4567,2227,112,40.8,4.3,2.55,1.87,37.770244,-122.257843
456600,53565,65666,2928,1388,57,18,3.8,3.43,2.22,37.767344,-122.248509
662900,84342,97979,4651,2023,111,52.1,5.1,2.6,2.06,37.760085,-122.235134
646000,90996,104798,6259,2616,111,59.9,5.4,2.81,2.37,37.755936,-122.241445
577200,93000,105245,6526,2491,161,83.9,5.6,2.58,2.98,37.732329,-122.239647
762000,132354,152379,7074,2670,125,87.6,6.3,2.74,2.69,37.742265,-122.248442
571100,54455,70596,4357,2015,183,33.5,4.2,2.54,2.24,37.761732,-122.250698
601300,64784,81277,3183,1534,101,33.6,4,2.16,2.4,37.760371,-122.258967
431300,75039,82951,3271,1575,168,51.4,3.8,2.08,2.15,37.764047,-122.269128
839100,67321,102160,4119,1490,315,40.3,5.4,3.24,2.6,37.784171,-122.294078
697200,126532,147834,6523,2278,22,88.2,6.7,2.93,3.22,37.712241,-122.031666
684500,127344,137432,2285,910,20,90.8,6.9,2.51,2.01,37.720897,-122.049457
637400,100577,116303,6916,2398,98,93.3,6.6,2.81,2.92,37.714765,-122.064495
642000,100156,128783,3670,1337,56,85,6.7,2.68,4.31,37.715635,-122.081571
618900,113333,135521,2046,756,0,89.9,6.6,2.69,2.92,37.715623,-122.09421
545500,65750,79627,6049,2134,206,62.2,5.1,2.66,2.67,37.701711,-122.105916
587300,86250,113495,5887,2187,57,88.4,6.3,2.82,2.14,37.703598,-122.096691
583100,101090,104916,3814,1380,91,74.9,5.8,2.85,2.36,37.706165,-122.082551
490900,78015,86983,5394,2179,127,74.6,5.5,2.72,2.25,37.699006,-122.065672
443100,51650,65844,4681,1866,52,18.4,4.1,2.31,2.42,37.698365,-122.083533
387300,56181,64661,2714,1169,47,31.4,3.9,2.28,2.8,37.693136,-122.078141
418900,54926,74465,3225,1373,72,34,4.5,2.46,2.21,37.688063,-122.066213
376600,46744,66106,5627,2675,198,46.5,4.4,2.15,2.09,37.685328,-122.082131
464000,93220,100372,3770,1408,68,82.4,5.6,2.84,2.3,37.7361,-122.147254
479900,57400,75951,4080,1671,155,46.8,4.7,2.47,2.04,37.732142,-122.156416
453300,73906,87203,4656,1658,173,67.1,5.1,3.17,2.04,37.731435,-122.1668
417900,58807,69723,5814,1806,95,45.1,5.1,3.44,3.46,37.707114,-122.182202
451700,54113,69996,4839,1456,14,59.9,4.9,3.11,3.78,37.717452,-122.166407
427900,72045,81636,4485,1450,0,54.2,4.8,4.22,3.13,37.724403,-122.171991
348900,43916,52580,6842,2865,122,27.2,4,2.2,2.23,37.722579,-122.153333
509000,81613,97866,2478,1010,92,75.1,6.1,2.5,2.26,37.726866,-122.142899
613700,92550,103687,3729,1439,84,77.7,6.2,2.19,2.75,37.720547,-122.129449
399100,71271,82010,3832,1397,172,81.1,5.4,2.6,3.5,37.715228,-122.135031
419900,70000,82716,3989,1338,52,59.9,5,3.14,3.11,37.701242,-122.133506
453000,43078,45186,3530,1513,10,13.5,3.3,2.88,2.63,37.709804,-122.137937
332100,54772,70893,3760,1776,123,35.9,3.5,1.63,2.18,37.715707,-122.146249
428400,56517,67325,6897,2663,123,41.3,4.2,3.4,2.41,37.697187,-122.140737
438900,67017,80571,6834,2125,28,80.2,5.7,3.26,2.95,37.696161,-122.154876
419200,76473,82137,6305,2276,21,80.7,5.6,2.61,4.3,37.687374,-122.168735
431300,70625,84298,4352,1378,39,84.8,5.4,3.29,3.3,37.684411,-122.154919
393700,53937,67468,5978,2065,62,53.2,4.8,2.85,2.71,37.685659,-122.144993
332300,58351,64528,3182,1071,75,37.8,4.2,3.24,3.17,37.687061,-122.113763
359600,52330,66993,7369,2540,73,48.5,4.9,3.19,3.05,37.699054,-122.122708
281300,44106,50639,6599,2357,281,31.3,4,2.67,3.15,37.69849,-122.112872
305600,39567,56441,4884,1815,199,31.9,4.3,3.3,2.85,37.692714,-122.110802
598300,107625,110460,5179,1569,63,79.8,6.1,2.76,2.25,37.655166,-122.044197
758500,136000,155885,6403,2107,43,88.7,7.5,3.13,2.34,37.672746,-122.030251
434700,55975,67402,5216,2102,269,28.8,4,2.99,2.76,37.632281,-122.048879
508400,81659,90913,4140,1459,76,75.4,6.2,3.07,2.76,37.68501,-122.051839
436900,52444,58380,4479,1770,164,37.9,4.2,3.2,2.55,37.68099,-122.065219
315400,48873,64247,4503,2135,328,30.7,3.7,2.31,2.01,37.673716,-122.082822
335600,45241,53805,3725,1487,242,31.8,4,3.88,1.98,37.680417,-122.092731
321800,47630,57673,4902,1649,67,30.3,4.1,3.42,3.05,37.674612,-122.102084
451300,62609,67523,5329,1652,204,38.3,4.3,3.9,3.15,37.681524,-122.106711
361500,72688,79366,4594,1535,128,70.6,5.1,2.98,3.32,37.680214,-122.117376
387000,75309,79121,5382,1646,46,77.1,5.7,3.33,3.91,37.679065,-122.129811
436000,68882,81325,5073,1666,0,83.6,5.8,2.95,4.4,37.674658,-122.144092
397700,74228,79464,4557,1446,59,78.7,5.8,3.29,3.74,37.668865,-122.136954
383600,63438,67693,5261,1782,0,54.7,5.1,3.41,2.28,37.672135,-122.123032
407700,41417,46830,3827,1238,51,17.5,4,2.55,3.25,37.668488,-122.112151
371800,53776,64589,7129,2177,135,31.1,4.3,3.28,3.3,37.667098,-122.090944
403000,70655,90185,7042,3141,404,54.4,4.9,2.79,2.7,37.671564,-122.06618
649500,122778,145725,2618,1065,51,95.6,7,2.79,4.47,37.666646,-122.043477
397800,51523,62266,4583,1806,125,25.8,3.8,3.22,2.41,37.659356,-122.070903
317100,49105,55274,6091,1940,101,39.8,4.6,3.64,3.42,37.656859,-122.078889
404600,52854,59693,4571,1697,80,27.4,3.9,4.73,2.42,37.651302,-122.084816
290400,60542,66046,3284,1065,48,56.7,4.6,3.41,3.31,37.662083,-122.100425
383300,71586,79895,4027,1391,88,49.9,5,3.24,2.95,37.653836,-122.093603
373000,51549,63200,6724,1933,167,42.8,4.7,3.56,3.66,37.661497,-122.109848
356100,68092,80765,3473,1272,161,75.6,5,2.42,2.67,37.645359,-122.100411
453100,92849,108787,6448,1902,108,95.5,5.7,3.21,4.63,37.621268,-122.103768
321700,65493,71132,4251,1465,0,55.4,4.7,3.92,2.73,37.628586,-122.09914
403800,60631,72857,6755,2338,209,60.1,5,2.9,2.94,37.642646,-122.11198
367200,53068,73938,3111,890,33,52.9,5.2,4.06,3.09,37.635997,-122.093488
367900,69375,85680,3408,943,77,75.1,5.8,3.91,4.19,37.642549,-122.087027
364800,47361,50333,4528,1198,64,26.8,4.2,3.42,3.72,37.643779,-122.080105
438400,61865,67921,3217,935,29,56.6,5,3.68,4,37.63569,-122.080097
364300,49196,60466,3649,1103,154,22.9,4.2,4.11,3.84,37.634584,-122.06982
353200,36392,43018,4256,1140,160,8.6,4,3.25,4.87,37.638237,-122.073291
371400,77738,90286,4621,1414,140,76.6,5.5,3.24,3.9,37.643431,-122.068669
415200,49135,58548,2338,722,36,37.8,4.2,4.56,2.92,37.641772,-122.060147
466900,69258,89050,3283,1118,127,68.9,5.3,2.7,2.77,37.617845,-122.029865
374800,85776,96116,7675,2177,39,80.6,5.4,3.55,3.63,37.616828,-122.037345
262900,61314,72189,4540,1235,110,82.3,5.5,4,3.67,37.626305,-122.076544
421500,74924,90454,3920,1330,50,81.7,5.5,3.42,2.95,37.625168,-122.068104
165300,66111,77618,5368,1892,124,88.9,5.1,3.16,4.21,37.627421,-122.059399
350800,75984,86715,3731,952,60,78.3,5.2,3.89,5.74,37.628139,-122.088435
326700,73375,78808,2331,735,11,89.5,5.4,2.79,5.03,37.621384,-122.083168
359300,73100,79312,2310,888,110,54.9,4.5,3.11,2.42,37.595947,-122.001607
427400,50232,58441,5989,1521,58,50.1,5.2,3.65,3.91,37.600154,-122.022415
529300,66408,77295,7312,2286,175,72.1,5.7,3.22,3.36,37.602857,-122.047828
477100,91696,97069,4674,1390,111,65.8,5.7,3.73,3.44,37.587489,-122.077232
517700,93333,105355,3883,1083,41,76.3,6.2,3.38,5.16,37.577352,-122.074549
390000,86818,100871,3841,1113,129,79.5,5.5,3.93,3.8,37.584964,-122.068313
356500,58462,80089,4219,1716,148,72.4,5.2,2.61,2.59,37.591379,-122.048874
504600,68377,80952,5883,2111,151,58.4,5.2,3.39,2.51,37.589678,-122.02769
504500,73713,82358,3205,969,136,47.5,4.8,3.81,3.8,37.594544,-122.078574
763600,163125,164506,3310,919,35,87.4,7.3,3.72,4.14,37.583797,-122.083299
629700,114500,110996,2839,892,94,82.1,6.6,3.24,3.92,37.60236,-122.073504
504200,99761,100812,4016,1149,54,88.6,6.4,4.06,4.31,37.593398,-122.065065
661800,127231,134323,6496,1919,97,72.1,5.9,3.5,2.08,37.590663,-122.012223
472800,71000,76585,4459,1560,66,59.6,5.1,3.09,3.32,37.582281,-122.018969
636100,101597,110619,4308,1696,165,73.9,6,3.11,1.8,37.577586,-121.968635
640000,91491,105623,6816,2656,212,62.4,5.5,3.08,2.53,37.579125,-121.991678
722400,116768,139456,3179,1232,106,54.4,4.8,3.27,2.23,37.569161,-122.004813
612700,100417,109108,5553,1913,151,70.7,6.1,3.15,2.6,37.569256,-122.019216
561500,78750,96694,6931,2481,101,70.8,5.2,2.78,2.37,37.573508,-122.037398
661400,94375,119859,5233,1762,123,79.2,6.1,3.16,2.83,37.582266,-122.040375
628300,123750,127562,6068,1828,41,86.2,6.7,3.62,3.96,37.573427,-122.067647
616200,129083,138492,5389,1738,109,82.3,5.8,2.95,2.32,37.520638,-121.999414
617600,118125,121436,5869,1882,60,79.4,6.2,3.22,3.72,37.572116,-122.051936
575300,89036,107825,4980,1507,12,78.7,6.1,3.34,3.97,37.584831,-122.057448
536600,115246,109974,4077,1436,0,56.1,4.4,2.52,2.81,37.564604,-122.046985
656800,135600,130851,4010,1387,35,57,5.2,3.14,2.83,37.562519,-122.054408
543000,85243,95682,4561,1490,47,75.3,6,3.21,3.71,37.563324,-122.029849
456200,81538,91481,6802,2373,149,59.4,5.1,3.24,3.14,37.557474,-122.02165
429200,72909,94466,7436,2782,355,66.5,4.4,2.78,2.68,37.553768,-122.011264
554700,77875,95096,6786,2449,52,61.9,5,2.85,2.95,37.559156,-121.99258
462700,95775,102750,3663,1329,124,28.4,4.5,3.98,2.84,37.542458,-121.968864
373300,64583,75410,5605,2216,387,7.1,3.2,2.06,2.44,37.552176,-121.988007
528800,102708,118551,7301,2638,297,57.1,4.6,2.43,2.87,37.564127,-121.97296
325700,104634,120563,6159,2930,291,22.7,3.5,2.13,2.18,37.556906,-121.969466
426900,65341,75200,4080,1490,135,22.7,4,2.73,2.55,37.540775,-121.978293
499100,71273,87017,4103,1789,246,31.3,3.7,1.97,2.44,37.544784,-121.976145
875200,155500,152477,5166,1726,94,86.2,6.7,3.08,3.57,37.547219,-121.950169
899000,124320,138767,6875,2238,139,76.8,6.7,3.03,3.24,37.537527,-121.942076
567100,75495,82394,4388,1520,133,61.3,5.4,3.21,3.06,37.528089,-121.960033
478900,55116,78273,4788,1908,148,29.4,4.1,3.07,2.67,37.536124,-121.961412
521700,87813,101953,6253,1984,103,74.8,5.7,3.75,4.02,37.531986,-121.974035
507600,79526,83866,7371,2300,195,54.4,5.4,3.24,3.35,37.537437,-121.986796
632900,80521,98490,3844,1315,41,66.3,6,2.88,2.66,37.543725,-121.99737
748300,66062,101894,5074,1768,120,55.3,4.9,2.88,3.15,37.549808,-122.004837
633000,103558,108751,2873,1092,27,79.7,6,2.74,2.33,37.537368,-122.007806
484700,69375,83498,2816,971,121,69.1,5.6,3.15,3.44,37.528541,-121.991923
570900,80926,93707,7194,2338,226,70.8,5.8,3.27,3.63,37.518372,-121.973914
465700,91932,92414,2917,842,33,83.4,5.7,4.17,4.54,37.519068,-121.951827
509400,91250,95396,5918,1845,73,78.3,5.5,2.95,3.58,37.516438,-121.960506
905500,138239,169486,4611,1512,49,87.6,7.2,3.54,4.62,37.507335,-121.927245
877600,127869,142039,5558,1796,167,69.6,6.2,3.44,3.27,37.531756,-121.925766
755400,131875,149581,4074,1274,34,91.3,6.8,3.22,3.49,37.470574,-121.913353
350500,83143,94454,3142,1287,41,49.3,4.2,2.54,2.92,37.489265,-121.924551
678200,126116,135664,2985,979,56,82.1,6.3,3.18,4.13,37.482374,-121.920129
607300,82500,85620,7280,2556,126,84.6,6.2,3.01,2.59,37.550387,-122.03473
463400,81047,89359,6499,2017,64,80.6,5.7,3.1,3.68,37.542016,-122.045557
528300,92563,107993,3855,1192,32,76.6,6,3.43,3.08,37.53594,-122.053685
519900,69875,90937,4354,1309,42,51.9,5.2,4.18,3.41,37.526727,-122.045271
439800,73423,82316,5114,1534,155,69.4,5,4.02,2.51,37.536305,-122.035195
455900,74141,83087,6696,2070,178,54.6,5,3.55,3.13,37.534093,-122.028417
541000,84773,90090,4761,1504,96,81.4,6.4,3.37,3.65,37.52897,-122.015382
421800,106604,107660,4014,1613,95,70.9,4.6,2.62,2.65,37.518819,-121.998672
567000,108125,113588,4349,1722,119,29.9,4.4,2.96,2.18,37.706707,-121.885743
760900,131795,146724,9434,1309,55,67.2,6.4,3.51,2.44,37.716635,-121.885933
512300,85592,88709,4067,2294,256,29.9,4.3,2.41,2.03,37.721142,-121.914653
553500,104063,106048,4551,1606,86,71.3,5.9,2.93,2.35,37.714113,-121.920255
499000,100446,104271,5968,1977,96,72.6,5.7,3.19,3.04,37.717,-121.933437
588200,112614,112061,3129,1223,52,72.9,5.4,2.87,2.33,37.706403,-121.941764
769300,149180,165969,4185,1487,16,95.2,7.7,3.33,2.17,37.710144,-121.95155
763800,131282,150931,8722,3359,149,66.6,6,2.86,2.33,37.673284,-121.91457
615800,127270,135221,4657,1472,55,88.9,6.5,3.13,4.72,37.682446,-121.908145
832100,130938,138407,4796,1651,29,78.1,7.1,2.89,2.54,37.681135,-121.884142
727900,109960,120068,3685,1348,36,68.3,6.2,2.85,3.18,37.672434,-121.883395
830800,141797,162136,5733,1848,10,81.8,7.1,3.22,2.78,37.669327,-121.899673
873500,77038,109770,5251,2128,101,28.9,4,2.92,2.05,37.657743,-121.883001
815700,98304,133075,4768,1736,61,56.4,5.5,2.76,2.61,37.660219,-121.865232
634400,101500,118504,4576,1777,31,80.1,5.9,2.64,2.58,37.661658,-121.850007
503500,93347,104950,4734,2216,129,31.5,4.1,2.49,2.65,37.692046,-121.884479
671000,117821,158741,4831,1480,16,92.9,7.2,3,3.77,37.696329,-121.867036
