date_sold;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement;yr_built;year_renovated;zip_code;lattitude;longitude;nn_sqft_living;nn_sqft_lot
2015-04-24T00:00:00Z;5,36172783601759;3;1,00;1250;9774;1,0;0;0;good;1250;0;1969;1969;98003;47,3343;-122,306;1280;8850
2014-05-14T00:00:00Z;5,58546072950850;4;1,75;1620;4980;1,0;0;0;good;860;760;1947;1947;98133;47,7025;-122,341;1400;4980
2014-08-26T00:00:00Z;6,30102999566398;3;2,75;3050;44867;1,0;0;4;average;2330;720;1968;1968;98040;47,5316;-122,233;4110;20336
2014-07-03T00:00:00Z;5,45484486000851;5;2,50;2270;6300;2,0;0;0;average;2270;0;1995;1995;98092;47,3266;-122,169;2240;7005
2014-05-16T00:00:00Z;5,40260524191991;2;1,50;1070;9643;1,0;0;0;average;1070;0;1985;1985;98030;47,3533;-122,166;1220;8386
2014-11-03T00:00:00Z;5,36735592102602;3;2,00;1710;4697;1,5;0;0;very_good;1710;0;1941;1941;98002;47,3048;-122,218;1030;4705
2014-06-26T00:00:00Z;5,97173959088778;3;1,75;2450;2691;2,0;0;0;average;1750;700;1915;1915;98119;47,6386;-122,360;1760;3573
2014-12-01T00:00:00Z;5,82412583391655;3;1,00;1400;1581;1,5;0;0;very_good;1400;0;1909;1909;98112;47,6221;-122,314;1860;3861
2014-06-24T00:00:00Z;5,64147411050410;3;1,75;1520;6380;1,0;0;0;average;790;730;1948;1948;98115;47,6950;-122,304;1520;6235
2015-03-02T00:00:00Z;5,85672889038288;4;2,50;2570;7173;2,0;0;0;average;2570;0;2005;2005;98052;47,7073;-122,110;2630;6026
2014-11-10T00:00:00Z;5,76380222407459;3;2,50;2320;3980;2,0;0;0;average;2320;0;2003;2003;98027;47,5391;-122,070;2580;3980
2014-12-01T00:00:00Z;5,44715803134222;2;1,50;1190;1265;3,0;0;0;average;1190;0;2005;2005;98133;47,7274;-122,357;1390;1756
2014-06-24T00:00:00Z;5,83727270250230;4;1,75;2330;5000;1,5;0;0;good;1510;820;1929;1929;98117;47,6823;-122,368;1460;5000
2014-11-10T00:00:00Z;5,72835378202123;3;1,00;1090;3000;1,5;0;0;good;1090;0;1929;1929;98117;47,6889;-122,375;1570;5080
2014-12-03T00:00:00Z;5,50852971897129;4;2,75;2060;6659;1,0;0;0;average;1280;780;1981;1981;98058;47,4276;-122,157;2020;8720
2014-05-28T00:00:00Z;5,74036268949424;4;1,00;1660;34848;1,0;0;0;poor;930;730;1933;1933;98052;47,6621;-122,132;2160;11467
2014-12-30T00:00:00Z;5,80617997398389;4;2,00;2360;6000;2,0;0;0;good;2360;0;1904;1904;98107;47,6702;-122,362;1730;4700
2015-02-13T00:00:00Z;5,38021124171161;4;1,00;1220;8075;1,0;0;0;fair;890;330;1969;1969;98001;47,3341;-122,282;1290;7800
2014-06-20T00:00:00Z;5,78175537465247;4;2,50;2620;7553;2,0;0;0;average;2620;0;1996;1996;98056;47,5301;-122,180;2620;11884
2014-07-15T00:00:00Z;5,79588001734407;4;2,50;2570;5520;2,0;0;0;average;2570;0;2000;2000;98074;47,6145;-122,027;2470;5669
2014-08-11T00:00:00Z;5,88930170250631;4;2,25;4220;24186;1,0;0;0;average;2600;1620;1984;1984;98166;47,4450;-122,347;2410;30617
2014-07-07T00:00:00Z;5,93550222757644;5;2,75;3595;5639;2,0;0;0;average;3595;0;2014;2014;98053;47,6848;-122,016;3625;5639
2014-10-28T00:00:00Z;5,83569057149243;3;1,00;1570;2280;2,0;0;0;average;1570;0;1922;1922;98119;47,6413;-122,364;1580;2640
2014-07-29T00:00:00Z;5,48995847942483;3;1,00;1280;9656;1,0;0;0;good;920;360;1959;1959;98058;47,4485;-122,175;1340;8808
2014-07-18T00:00:00Z;5,68841982200271;3;2,50;3160;13603;2,0;0;0;average;3160;0;2003;2003;98019;47,7443;-121,977;3050;9232
2015-03-25T00:00:00Z;5,32323146811477;3;1,00;990;8528;1,0;0;0;average;990;0;1966;1966;98023;47,3066;-122,371;1228;8840
2015-04-28T00:00:00Z;5,65321251377534;3;1,75;1250;5963;1,0;0;0;good;1250;0;1953;1953;98115;47,6796;-122,301;970;5100
2015-03-11T00:00:00Z;6,13033376849501;3;2,50;2753;65005;1,0;1;2;very_good;2165;588;1953;1953;98070;47,4041;-122,451;2680;72513
2014-09-16T00:00:00Z;5,35793484700045;3;1,00;1190;9199;1,0;0;0;average;1190;0;1955;1955;98148;47,4258;-122,322;1190;9364
2015-02-17T00:00:00Z;5,53781909507327;5;2,50;3150;9134;1,0;0;0;good;1640;1510;1966;1966;98056;47,4934;-122,189;1990;9133
2014-12-31T00:00:00Z;5,77815125038364;3;1,75;1410;4080;1,0;0;0;good;1000;410;1950;1950;98117;47,6808;-122,384;1410;4080
2015-02-05T00:00:00Z;5,76715586608218;2;1,75;1980;8550;1,0;0;0;average;990;990;1981;1981;98117;47,6989;-122,369;1480;6738
2015-03-03T00:00:00Z;5,96378782734556;5;2,25;2730;6000;1,5;0;0;average;2130;600;1927;1927;98105;47,6571;-122,281;2730;6000
2014-08-19T00:00:00Z;5,46612587041820;4;2,50;2250;4495;2,0;0;0;average;2250;0;2008;2008;98042;47,3663;-122,114;2250;4500
2015-04-07T00:00:00Z;5,47856649559384;3;2,50;2420;4750;2,0;0;0;average;2420;0;2003;2003;98042;47,3663;-122,122;2690;4750
2015-02-23T00:00:00Z;5,63346845557959;4;3,00;1850;9976;2,0;0;0;average;1850;0;1991;1991;98059;47,5059;-122,149;2270;8542
2014-08-28T00:00:00Z;5,46089784275655;3;1,75;1260;8400;1,0;0;0;average;1260;0;1954;1954;98148;47,4366;-122,335;1290;8750
2014-10-21T00:00:00Z;5,70329137811866;3;1,75;2519;8690;2,0;0;0;very_good;2519;0;1973;1973;98166;47,4428;-122,344;2500;9500
2014-12-07T00:00:00Z;5,73957234445009;3;1,75;1540;1044;3,0;0;0;average;1540;0;2014;2014;98115;47,6765;-122,320;1580;3090
2014-06-03T00:00:00Z;5,62838893005031;3;2,25;1660;6000;1,0;0;0;average;1110;550;1979;1979;98122;47,6113;-122,297;1440;4080
2014-11-20T00:00:00Z;5,50191467805843;3;2,75;2770;3809;1,5;0;0;very_good;1770;1000;1925;1925;98144;47,5747;-122,304;1440;4000
2014-09-09T00:00:00Z;5,98900461569854;4;2,50;2720;11049;2,0;0;0;average;2720;0;1989;1989;98004;47,5815;-122,192;2750;11049
2014-10-09T00:00:00Z;5,45788189673399;4;2,50;2240;4648;2,0;0;0;average;2240;0;2005;2005;98001;47,3378;-122,257;2221;4557
2014-08-25T00:00:00Z;5,30963016742590;3;1,00;1000;12070;1,0;0;0;good;1000;0;1968;1968;98042;47,3621;-122,110;1010;12635
2014-06-12T00:00:00Z;6,12221587827283;5;2,25;3200;20158;1,0;0;0;average;1600;1600;1965;1965;98004;47,6303;-122,215;3390;20158
2014-09-12T00:00:00Z;6,01703333929878;5;3,25;4770;50094;1,0;0;0;good;3070;1700;1973;1973;98005;47,6525;-122,160;3530;38917
2015-01-05T00:00:00Z;5,51188336097887;3;2,00;1260;5612;1,0;0;0;good;1260;0;1972;1972;98034;47,7362;-122,179;1640;4745
2014-07-10T00:00:00Z;5,55630250076729;4;2,50;2380;5000;2,0;0;0;average;2380;0;2005;2005;98038;47,3608;-122,036;2420;5000
2015-03-16T00:00:00Z;5,54282542695918;3;1,75;1790;50529;1,0;0;0;very_good;1090;700;1965;1965;98042;47,3511;-122,073;1940;50529
2014-11-05T00:00:00Z;5,92038424217836;4;4,00;3430;35102;2,0;0;0;good;2390;1040;1986;1986;98075;47,5822;-121,987;3240;35020
2014-10-13T00:00:00Z;5,57978359661681;4;1,75;1760;7300;1,0;0;0;average;880;880;1956;1956;98008;47,6034;-122,125;1680;7500
2015-04-20T00:00:00Z;5,68124123737559;3;1,00;1040;5060;1,0;0;0;average;1040;0;1941;1941;98116;47,5636;-122,394;890;5060
2014-06-09T00:00:00Z;5,61278385671974;3;1,00;1410;5060;1,0;0;0;good;910;500;1956;1956;98133;47,7073;-122,340;1130;5693
2015-03-23T00:00:00Z;5,85733249643127;4;2,50;3450;39683;2,0;0;0;average;3450;0;2002;2002;98010;47,3420;-122,025;3350;39750
2014-12-02T00:00:00Z;5,59106460702650;3;2,50;2350;5100;2,0;0;0;average;2350;0;2003;2003;98038;47,3512;-122,008;2350;5363
2014-10-28T00:00:00Z;5,55022835305509;2;1,00;2020;6720;1,0;0;0;average;1010;1010;1948;1948;98118;47,5474;-122,291;1720;6720
2014-06-02T00:00:00Z;5,49831055378960;3;1,00;960;6634;1,0;0;0;average;960;0;1952;1952;98125;47,7264;-122,310;1570;7203
2014-11-14T00:00:00Z;5,97312785359970;3;1,50;2140;3600;2,0;0;0;average;1900;240;1925;1925;98119;47,6337;-122,365;2020;4800
2014-11-03T00:00:00Z;5,48429983934679;5;2,25;2660;8400;1,5;0;0;very_good;2660;0;1961;1961;98092;47,2909;-122,189;1590;8165
2014-06-18T00:00:00Z;5,66370092538965;3;3,25;2770;6278;2,0;0;0;average;1980;790;2006;2006;98056;47,5228;-122,199;1900;7349
2014-05-19T00:00:00Z;5,33243845991560;2;2,25;1610;2040;2,0;0;0;good;1610;0;1979;1979;98056;47,5180;-122,194;1950;2025
2014-05-22T00:00:00Z;5,38649896555065;4;2,50;1980;7403;2,0;0;0;average;1980;0;1988;1988;98023;47,2897;-122,372;1980;7510
2015-03-11T00:00:00Z;6,04134530499396;5;2,75;3520;6353;2,0;0;0;good;3520;0;2001;2001;98199;47,6506;-122,391;2520;6250
2015-02-26T00:00:00Z;5,18469143081760;3;1,00;1200;10500;1,0;0;0;average;1200;0;1962;1962;98023;47,3220;-122,351;1350;10500
2014-07-25T00:00:00Z;5,63346845557959;3;1,50;1580;5000;1,0;0;0;average;1290;290;1939;1939;98117;47,6870;-122,386;1570;4500
2014-12-23T00:00:00Z;5,84509804001426;3;1,50;1580;5000;1,0;0;0;average;1290;290;1939;1939;98117;47,6870;-122,386;1570;4500
2014-09-08T00:00:00Z;5,95664857920520;4;2,50;3300;10250;1,0;0;0;average;2390;910;1946;1991;98040;47,5873;-122,249;1950;6045
2015-03-30T00:00:00Z;5,39357520326959;3;1,75;1960;15681;1,0;0;0;average;1960;0;1967;1967;98032;47,3576;-122,277;1750;15616
2014-09-12T00:00:00Z;5,29885307640971;4;1,50;1160;6400;1,0;0;0;good;1160;0;1975;1975;98023;47,3036;-122,378;1160;6400
2014-07-11T00:00:00Z;5,49692964807322;3;1,75;1810;41800;1,0;0;0;very_good;1210;600;1980;1980;98038;47,4109;-121,958;1650;135036
2014-05-16T00:00:00Z;5,64097805735833;3;2,50;2320;36847;2,0;0;2;average;2320;0;1992;1992;98045;47,4838;-121,714;2550;35065
2014-06-11T00:00:00Z;5,92984279458842;3;2,50;2070;13241;1,5;0;0;very_good;1270;800;1910;1910;98102;47,6415;-122,315;2200;4500
2014-10-27T00:00:00Z;5,74429298312268;3;2,00;1980;3478;1,5;0;0;good;1440;540;1929;1929;98117;47,6775;-122,372;1610;3478
2014-12-12T00:00:00Z;5,84506701787189;3;2,25;2190;107593;2,0;0;0;good;2190;0;1983;1983;98077;47,7731;-122,080;2570;47777
2015-04-02T00:00:00Z;5,57403126772772;3;2,50;2340;10005;1,0;0;0;good;1460;880;1978;1978;98058;47,4431;-122,133;2250;8162
2014-05-23T00:00:00Z;5,66275783168157;3;1,00;1670;4005;1,5;0;0;good;1170;500;1939;1939;98117;47,6878;-122,380;1240;4005
2014-07-23T00:00:00Z;5,27531135454181;2;1,75;1240;2493;1,0;0;0;good;1240;0;1985;1985;98198;47,3813;-122,322;1270;4966
2015-03-05T00:00:00Z;5,83250891270624;4;2,50;3140;28037;2,0;0;0;good;3140;0;1991;1991;98077;47,7304;-122,082;2990;35001
2014-08-27T00:00:00Z;5,67209785793572;5;1,75;2030;12342;2,0;0;0;good;2030;0;1942;1942;98052;47,6417;-122,109;2500;9433
2014-07-25T00:00:00Z;5,77651958478781;4;2,50;2310;9624;2,0;0;0;average;2310;0;1984;1984;98027;47,5386;-122,053;1940;9636
2015-03-04T00:00:00Z;5,75587485567249;3;1,75;1260;3328;1,0;0;0;very_good;700;560;1905;1905;98103;47,6823;-122,349;1380;3536
2014-09-16T00:00:00Z;5,43536650661266;3;1,75;1540;12600;1,0;0;0;good;1160;380;1980;1980;98038;47,3624;-122,031;1540;11656
2014-10-28T00:00:00Z;5,68124123737559;4;2,50;3230;16171;2,0;0;3;average;2520;710;2001;2001;98001;47,3183;-122,253;2640;8517
2014-06-23T00:00:00Z;5,31265329564566;2;1,00;880;6780;1,0;0;0;good;880;0;1945;1945;98178;47,5009;-122,248;1190;6780
2015-05-11T00:00:00Z;5,72835378202123;4;1,00;1610;2982;1,5;0;0;good;1610;0;1925;1925;98144;47,5870;-122,294;1610;4040
2015-01-02T00:00:00Z;5,81954393554187;3;2,50;2400;6474;1,0;0;2;average;1560;840;1964;1964;98177;47,7728;-122,386;2340;10856
2014-11-19T00:00:00Z;5,59273176639396;3;2,00;1450;9132;1,0;0;0;average;1450;0;1987;1987;98034;47,7288;-122,226;1580;9104
2014-11-04T00:00:00Z;5,64836001098093;4;1,75;2100;4400;1,5;0;0;very_good;1720;380;1924;1924;98118;47,5299;-122,266;1850;4400
2014-06-18T00:00:00Z;5,88649072517248;3;2,25;2910;10204;2,0;0;0;average;2910;0;1990;1990;98052;47,6897;-122,098;2700;13992
2015-03-02T00:00:00Z;6,16136800223498;4;2,75;2750;17789;1,5;0;0;average;1980;770;1914;1992;98004;47,6141;-122,212;3060;11275
2014-07-17T00:00:00Z;5,64836001098093;3;2,25;2100;8201;1,0;0;2;average;1620;480;1967;1967;98178;47,5091;-122,244;2660;8712
2014-07-17T00:00:00Z;5,41497334797082;4;2,25;2160;8811;1,0;0;0;average;1360;800;1978;1978;98023;47,3129;-122,390;2090;8400
2015-01-05T00:00:00Z;5,32633586092875;3;1,75;1060;7875;1,0;0;0;good;1060;0;1986;1986;98092;47,2761;-122,152;1420;7680
2015-04-28T00:00:00Z;5,81987282195055;4;2,25;2010;9603;1,0;0;0;average;1440;570;1986;1986;98027;47,5343;-122,054;2060;9793
2014-06-12T00:00:00Z;5,89431606268444;3;3,50;3950;111078;1,5;0;0;average;2460;1490;1989;1989;98052;47,6970;-122,072;2480;88500
2014-05-12T00:00:00Z;5,65633398003596;3;2,50;2010;2287;2,0;0;0;average;1390;620;2014;2014;98029;47,5517;-121,998;1690;1662
2015-01-26T00:00:00Z;5,82930377283103;4;3,50;2140;2278;3,0;0;0;average;2140;0;2005;2005;98107;47,6734;-122,380;1540;2285
2014-08-13T00:00:00Z;5,29885307640971;3;1,75;1320;17390;1,0;0;0;good;1320;0;1956;1956;98003;47,3257;-122,296;1550;19265
2014-08-05T00:00:00Z;5,34242268082221;4;1,75;2020;7840;1,0;0;0;average;1010;1010;1968;1968;98003;47,3309;-122,299;1750;8140
2014-05-29T00:00:00Z;5,65513843481138;4;2,25;2590;10002;1,0;0;0;good;1340;1250;1968;1968;98028;47,7689;-122,266;1550;10436
2014-07-07T00:00:00Z;5,58263143948964;2;1,00;1190;4440;1,0;0;0;average;1190;0;1981;1981;98125;47,7135;-122,287;1060;5715
2014-05-07T00:00:00Z;5,71596158254222;3;2,25;1170;1249;3,0;0;0;average;1170;0;2014;2014;98107;47,6722;-122,381;1350;1310
2014-06-27T00:00:00Z;5,82282164530310;2;1,00;1110;3200;1,0;0;0;average;1110;0;1925;1925;98119;47,6338;-122,358;1170;3600
2015-05-08T00:00:00Z;5,31175386105575;3;1,00;1610;8579;1,0;0;0;good;1010;600;1962;1962;98058;47,4563;-122,171;1610;8579
2015-04-15T00:00:00Z;5,62324929039790;3;1,00;1060;8097;1,0;0;0;good;940;120;1923;1923;98133;47,7144;-122,351;1560;7940
2015-02-27T00:00:00Z;5,69897000433602;4;2,25;2030;8517;1,0;0;0;good;1380;650;1961;1961;98006;47,5495;-122,174;2230;8824
2014-12-03T00:00:00Z;5,96449533955509;4;2,50;3670;315374;2,0;0;0;good;3670;0;1994;1994;98077;47,7421;-122,026;2840;87991
2014-06-25T00:00:00Z;5,94939000664491;4;1,00;2550;4000;2,0;0;0;average;2370;180;1905;1905;98109;47,6354;-122,353;2200;4000
2014-08-06T00:00:00Z;5,63346845557959;2;2,50;2420;60984;2,0;0;0;average;2420;0;2007;2007;98027;47,5262;-121,943;1940;193842
2014-11-04T00:00:00Z;5,70842090013471;3;1,00;1430;3455;1,0;0;0;average;980;450;1947;1947;98103;47,6873;-122,336;1450;4599
2014-08-20T00:00:00Z;5,72605038843843;3;2,00;1360;3090;2,0;0;0;average;1360;0;1990;1990;98103;47,6838;-122,353;1500;3090
2015-04-09T00:00:00Z;5,74818802700620;3;1,00;1110;5000;1,5;0;0;average;1110;0;1947;1947;98107;47,6550;-122,359;1420;5000
2015-03-31T00:00:00Z;5,45170969827135;3;1,00;1250;8200;1,0;0;0;good;1250;0;1954;1954;98003;47,3255;-122,304;1680;8633
2015-04-01T00:00:00Z;6,35218251811136;4;3,25;5180;19850;2,0;0;3;average;3540;1640;2006;2006;98006;47,5620;-122,162;3160;9750
2014-05-16T00:00:00Z;5,54406804435028;1;1,00;700;5100;1,0;0;0;average;700;0;1942;1942;98115;47,6790;-122,300;1010;5100
2014-07-28T00:00:00Z;5,33243845991560;3;1,00;1180;7669;1,0;0;0;good;1180;0;1967;1967;98058;47,4479;-122,176;1190;7669
2014-11-20T00:00:00Z;5,81291335664286;5;3,50;3960;25245;2,0;0;0;average;2500;1460;1996;1996;98056;47,5250;-122,172;2640;13675
2014-10-03T00:00:00Z;5,50514997831991;4;1,75;1760;11180;1,0;0;0;good;1760;0;1968;1968;98059;47,4715;-122,118;1730;11180
2014-05-07T00:00:00Z;5,40654018043396;5;2,25;2060;8632;1,0;0;0;average;1030;1030;1962;1962;98146;47,4877;-122,335;1010;11680
2015-03-04T00:00:00Z;5,95424250943933;3;2,50;3400;16603;2,0;0;0;average;3400;0;2000;2000;98075;47,6012;-122,023;3400;12601
2014-06-20T00:00:00Z;5,64443858946784;3;2,75;1910;7280;1,0;0;0;average;1160;750;1979;1979;98034;47,7319;-122,224;1710;8152
2014-08-12T00:00:00Z;5,62324929039790;3;2,00;2020;38332;1,0;0;0;good;1010;1010;1975;1975;98027;47,4582;-122,023;2110;36590
2014-12-08T00:00:00Z;5,56820172406699;3;1,75;1580;7000;1,0;0;0;average;1180;400;1976;1976;98034;47,7209;-122,168;1640;7500
2015-02-19T00:00:00Z;5,43128333180726;2;1,75;1340;7250;1,0;0;0;very_good;700;640;1949;1949;98198;47,4080;-122,327;1830;9750
2015-03-24T00:00:00Z;5,90692734730896;4;2,50;2680;4499;2,0;0;0;average;2680;0;1999;1999;98006;47,5650;-122,125;2920;4500
2014-06-05T00:00:00Z;5,81491318127507;3;2,50;2680;9750;1,0;0;0;good;1610;1070;1979;1979;98034;47,7028;-122,231;2480;8750
2014-06-11T00:00:00Z;5,56995881809659;3;2,00;1370;8336;1,0;0;0;very_good;1370;0;1964;1964;98133;47,7458;-122,331;1770;7288
2015-01-02T00:00:00Z;5,43456890403420;3;1,75;2160;7140;1,0;0;0;good;1670;490;1978;1978;98023;47,3026;-122,374;1930;7350
2014-05-02T00:00:00Z;5,49554433754645;3;1,50;1340;7912;1,5;0;0;average;1340;0;1955;1955;98133;47,7658;-122,339;1480;7940
2015-01-16T00:00:00Z;5,96260607292413;4;2,50;3880;35003;2,0;0;0;average;2570;1310;1984;1984;98033;47,6477;-122,182;3740;35230
2014-09-29T00:00:00Z;5,82801506422398;4;2,25;2590;8190;2,0;0;0;good;2590;0;1980;1980;98006;47,5619;-122,125;2260;8335
2015-02-10T00:00:00Z;5,62838893005031;3;2,50;1120;1100;2,0;0;0;average;820;300;2008;2008;98122;47,6106;-122,310;1590;1795
2014-07-09T00:00:00Z;5,60200570112452;5;2,75;1970;5400;1,0;0;0;average;1320;650;1986;1986;98144;47,5868;-122,308;1280;2150
2014-05-30T00:00:00Z;5,58546072950850;3;1,00;1220;4800;1,0;0;0;average;1220;0;1901;1901;98122;47,6101;-122,307;1200;4800
2015-01-07T00:00:00Z;5,51851393987789;2;1,00;1350;8220;1,0;0;0;average;1060;290;1949;1949;98177;47,7224;-122,358;1540;8280
2014-07-25T00:00:00Z;5,41497334797082;3;2,50;1670;5797;2,0;0;0;average;1670;0;1988;1988;98030;47,3505;-122,179;1670;6183
2015-04-14T00:00:00Z;5,67209785793572;4;3,00;2380;5125;1,5;0;0;good;1680;700;1925;1925;98126;47,5384;-122,376;1410;5375
2014-06-13T00:00:00Z;5,77011529478710;4;3,00;2440;9600;2,0;0;0;very_good;2440;0;1961;1961;98034;47,7044;-122,200;2290;9600
2014-07-23T00:00:00Z;5,21351775699631;2;1,50;1050;3419;2,0;0;0;average;1050;0;1996;1996;98038;47,3848;-122,039;1050;3417
2014-09-05T00:00:00Z;5,92168647548360;4;2,75;3130;13412;2,0;0;0;average;2140;990;1993;1993;98052;47,6993;-122,102;2260;9984
2014-11-21T00:00:00Z;6,03941411917614;5;3,00;4090;12850;1,0;0;2;good;2090;2000;1986;1986;98033;47,6627;-122,188;2540;10270
2015-04-15T00:00:00Z;5,42975228000241;4;1,75;1490;10000;1,0;0;0;good;1100;390;1969;1969;98023;47,3099;-122,379;2190;8910
2014-05-05T00:00:00Z;5,74818802700620;3;2,50;1900;8744;2,0;0;0;average;1900;0;1987;1987;98074;47,6200;-122,043;2030;8744
2015-04-18T00:00:00Z;5,78887511577542;4;1,00;1330;2400;1,5;0;0;good;1330;0;1901;1901;98103;47,6500;-122,340;1330;4400
2014-12-05T00:00:00Z;5,76729541180184;3;2,25;2230;10026;1,0;0;0;average;1430;800;1975;1975;98052;47,6647;-122,153;2230;9340
2014-11-05T00:00:00Z;5,22258642339039;3;1,00;1190;8820;1,0;0;0;average;1190;0;1959;1959;98058;47,4616;-122,184;1230;7980
2014-09-12T00:00:00Z;5,90254677931399;3;2,50;2140;9897;1,0;0;0;good;2140;0;1959;1959;98040;47,5505;-122,219;2680;10083
2014-06-25T00:00:00Z;5,60205999132796;3;2,50;2180;7508;1,0;0;0;good;1420;760;1962;1962;98133;47,7606;-122,336;1900;7818
2014-12-01T00:00:00Z;5,36172783601759;3;1,00;1060;10228;1,0;0;0;average;1060;0;1948;1948;98155;47,7481;-122,300;1570;10228
2014-05-15T00:00:00Z;5,40973536448245;3;2,50;1690;5025;2,0;0;0;average;1690;0;2003;2003;98023;47,2779;-122,347;2550;5001
2014-11-11T00:00:00Z;5,62634036737504;4;2,00;1970;6480;1,5;0;0;very_good;1130;840;1920;1920;98108;47,5511;-122,312;1500;6480
2014-07-23T00:00:00Z;5,66745295288995;3;2,50;2150;4084;2,0;0;0;average;2150;0;2007;2007;98126;47,5488;-122,372;1750;2385
2015-01-13T00:00:00Z;5,64345267648619;3;2,50;1910;66211;2,0;0;0;average;1910;0;1997;1997;98024;47,5385;-121,911;2330;67268
2014-10-14T00:00:00Z;5,58546072950850;3;1,75;1350;155073;1,0;0;0;good;1350;0;1969;1969;98038;47,4058;-121,994;1560;50965
2015-03-11T00:00:00Z;5,32221929473392;3;1,00;860;11725;1,0;0;0;good;860;0;1943;1943;98056;47,5093;-122,184;1300;9514
2014-11-12T00:00:00Z;5,47275644931721;3;2,50;1940;14952;2,0;0;0;average;1940;0;1994;1994;98042;47,3777;-122,165;2030;10450
2014-07-16T00:00:00Z;5,67209785793572;3;1,00;1010;5000;1,0;0;0;average;1010;0;1952;1952;98107;47,6750;-122,394;1680;5000
2014-08-04T00:00:00Z;5,35506820634885;3;1,50;1300;7370;1,0;0;0;good;900;400;1976;1976;98023;47,3025;-122,370;1430;7500
2015-03-03T00:00:00Z;5,43814663624675;3;1,00;910;8450;1,0;0;0;good;910;0;1962;1962;98059;47,4787;-122,158;1400;8040
2014-08-04T00:00:00Z;5,92427928606188;4;1,75;2480;11010;1,0;0;0;good;1630;850;1966;1966;98040;47,5378;-122,219;2770;10744
2014-09-19T00:00:00Z;5,83116563390944;3;2,50;2440;4587;2,0;0;0;average;2440;0;2010;2010;98052;47,7073;-122,114;2750;4587
2015-02-05T00:00:00Z;5,62838893005031;3;1,00;1010;5864;1,0;0;0;average;1010;0;1915;1915;98116;47,5733;-122,381;1290;5000
2014-11-23T00:00:00Z;5,25587527339147;2;0,75;900;9600;1,0;0;0;average;900;0;1941;1941;98166;47,4604;-122,339;1250;14280
2014-07-17T00:00:00Z;5,66651798055488;6;3,00;2300;3404;2,0;0;0;average;1600;700;1920;1994;98133;47,7067;-122,343;1560;1312
2015-04-22T00:00:00Z;5,50514997831991;4;2,25;1550;7579;2,0;0;0;average;1550;0;1993;1993;98038;47,3540;-122,047;1630;6397
2014-07-17T00:00:00Z;5,79623009128343;3;2,25;1270;1566;2,0;0;0;average;1060;210;2014;2014;98105;47,6647;-122,284;1160;1327
2014-05-15T00:00:00Z;5,77268835468214;4;2,50;2240;12032;1,0;0;0;average;2240;0;1983;1983;98074;47,6143;-122,017;2520;12368
2015-01-14T00:00:00Z;5,66745295288995;3;2,50;2714;17936;2,0;0;0;average;2714;0;2005;2005;98001;47,3185;-122,275;2590;18386
